X,Y
-75.445717,40.126192
-98.114081,30.198592
-97.466575,35.216938
-97.22271,27.620592
-94.958188,29.424726
-97.320488,20.43877
-97.454322,27.586869
-97.222692,27.620594
-73.984401,40.65647
-95.42,29.043
-97.328791,27.669287
-97.328811,27.669369
-98.135644,26.08228
-97.547376,30.350362
-98.37628,26.185045
-97.385151,30.347637
-97.222714,27.620572
-97.32917,27.669241
-97.454546,27.587551
-99.150774,26.576709
-97.221136,27.624802
-94.958199,29.424719
-97.285337,27.669043
-97.047534,28.05322
-97.957747,26.126278
-95.42,29.043
-97.731505,30.489463
-100.579551,25.796431
-97.027645,32.964074
-98.347083,26.337671
-103.191361,20.323247
-94.958237,29.424667
-95.10009,29.416342
-100.388111,20.522189
-95.419511,29.042716
-97.489062,30.22136
-97.222717,27.620563
-95.419511,29.042716
-97.222693,27.620551
-95.419511,29.042716
-82.531944,28.097329
9.80709,3.99741
9.78537,4.0601
9.80709,3.99741
9.78537,4.0601
9.80709,3.99741
9.80709,3.99741
9.78537,4.0601
9.80709,3.99741
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
10.22999,5.34052
9.78537,4.0601
9.78537,4.0601
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.78537,4.0601
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.78537,4.0601
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.78537,4.0601
9.80709,3.99741
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
9.80709,3.99741
9.80709,3.99741
9.80709,3.99741
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
9.78537,4.0601
